페미위키 링크	이름	공식명칭	지역	분류	학교	홈페이지	인스타그램	페이스북	링크트리	트위터	연대단위	현재투쟁중	활동중지발표
https://femiwiki.com/?curid=76653	아우르니	경남지역대학 페미니즘동아리 연합 아우르니	경남	페미니즘	*		https://www.instagram.com/a_ureuni/				윤석열 OUT 성차별 OUT 페미니스트들	동덕여대	
https://femiwiki.com/?curid=76796	아웃박스			페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76797	아웅다웅	단국대학교 성소수자모임 아웅다웅	용인	퀴어	단국대학교					https://x.com/dkuqueer			
https://femiwiki.com/?curid=76798	아쿠아	경희대학교 성소수자 동아리 아쿠아 (AKHUA)	서울	퀴어	경희대학교					https://x.com/akhua_in_khu			
https://femiwiki.com/?curid=76799	안산여성노동자회		안산	페미니즘, 노동							여성노동연대회의		
https://femiwiki.com/?curid=76800	안양여성의전화			페미니즘		http://anyanghotline.or.kr							
https://femiwiki.com/?curid=76801	앨리스	연세대학교 여성주의 소모임 앨리스	서울	페미니즘	연세대학교			https://www.facebook.com/Aliceinfeminism					
https://femiwiki.com/?curid=3421	야성의 꽃다방					http://femidio.net							
https://femiwiki.com/?curid=3473	언니네트워크			퀴어		https://www.unninetwork.net/							
https://femiwiki.com/?curid=76802	언니들의병원놀이			페미니즘				https://www.facebook.com/hospitalofsisters/			윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76803	언니모자			페미니즘						https://x.com/sisterhat			
https://femiwiki.com/?curid=45493	언니차	여성운전 프로젝트 '언니차'					instagram.com/unniecar			https://x.com/unniecar			
https://femiwiki.com/?curid=76805	엣지	세상의 끝에서 관점을 날카롭게 '엣지'		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76806	여명	부산대학교 페미니즘 동아리 여명	부산	페미니즘	부산대학교			https://www.facebook.com/womensdawn					
https://femiwiki.com/?curid=76807	여백	중앙대학교 여성주의학회 여백	서울	페미니즘	중앙대학교			https://www.facebook.com/cauyeobaek			윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=1939	여성문화이론연구소			페미니즘		https://gofeminist.org/					윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=1840	여성신문			페미니즘		https://www.womennews.co.kr/							
https://femiwiki.com/?curid=2821	여성예술인연대(AWA)			페미니즘									
https://femiwiki.com/?curid=76960	여성음악인연대			페미니즘						https://twitter.com/women_musicians			
